iter	Passed	Remaining
1226	22924	14442
1227	22942	14422
1228	22958	14402
1229	22975	14382
1230	22992	14363
1231	23008	14343
1232	23025	14323
1233	23042	14303
1234	23059	14283
1235	23076	14264
1236	23093	14244
1237	23111	14225
1238	23127	14205
1239	23143	14184
1240	23160	14164
1241	23177	14145
1242	23193	14124
1243	23210	14105
1244	23226	14085
1245	23243	14065
1246	23260	14045
1247	23277	14026
1248	23296	14007
1249	23313	13988
1250	23331	13969
1251	23348	13949
1252	23364	13929
1253	23380	13909
1254	23399	13890
1255	23417	13871
1256	23436	13852
1257	23454	13834
1258	23486	13823
1259	23504	13804
1260	23521	13784
1261	23539	13765
1262	23557	13746
1263	23575	13727
1264	23593	13708
1265	23611	13689
1266	23630	13670
1267	23647	13651
1268	23666	13632
1269	23684	13613
1270	23702	13594
1271	23718	13574
1272	23736	13555
1273	23754	13536
1274	23771	13517
1275	23790	13498
1276	23809	13480
1277	23827	13461
1278	23845	13442
1279	23862	13422
1280	23880	13403
1281	23898	13384
1282	23915	13365
1283	23934	13346
1284	23953	13328
1285	23971	13308
1286	23989	13290
1287	24007	13271
1288	24025	13252
1289	24046	13234
1290	24065	13216
1291	24082	13196
1292	24099	13177
1293	24116	13157
1294	24135	13139
1295	24153	13120
1296	24171	13101
1297	24189	13082
1298	24207	13063
1299	24224	13044
1300	24241	13024
1301	24258	13004
1302	24274	12984
1303	24291	12965
1304	24308	12945
1305	24324	12926
1306	24340	12905
1307	24357	12886
1308	24375	12867
1309	24391	12847
1310	24407	12827
1311	24424	12807
1312	24442	12788
1313	24459	12769
1314	24475	12749
1315	24492	12730
1316	24508	12710
1317	24525	12690
1318	24542	12671
1319	24559	12651
1320	24578	12633
1321	24596	12614
1322	24614	12595
1323	24630	12575
1324	24647	12556
1325	24664	12536
1326	24683	12518
1327	24700	12499
1328	24718	12480
1329	24734	12460
1330	24750	12440
1331	24781	12427
1332	24798	12408
1333	24817	12389
1334	24833	12370
1335	24849	12350
1336	24866	12331
1337	24884	12311
1338	24901	12292
1339	24917	12272
1340	24933	12253
1341	24952	12234
1342	24970	12215
1343	24987	12196
1344	25005	12177
1345	25023	12158
1346	25041	12139
1347	25058	12120
1348	25074	12100
1349	25091	12081
1350	25107	12061
1351	25124	12041
1352	25141	12022
1353	25157	12002
1354	25172	11982
1355	25190	11963
1356	25206	11943
1357	25224	11925
1358	25241	11905
1359	25258	11886
1360	25275	11866
1361	25292	11847
1362	25308	11827
1363	25324	11808
1364	25340	11788
1365	25358	11769
1366	25374	11750
1367	25391	11730
1368	25409	11711
1369	25428	11693
1370	25444	11673
1371	25461	11654
1372	25478	11635
1373	25496	11616
1374	25513	11597
1375	25529	11577
1376	25546	11558
1377	25564	11539
1378	25581	11519
1379	25597	11500
1380	25615	11481
1381	25633	11462
1382	25650	11443
1383	25667	11424
1384	25684	11404
1385	25700	11385
1386	25717	11366
1387	25733	11346
1388	25750	11327
1389	25767	11307
1390	25783	11288
1391	25800	11269
1392	25816	11249
1393	25833	11230
1394	25851	11211
1395	25868	11192
1396	25885	11173
1397	25901	11153
1398	25917	11134
1399	25934	11114
1400	25951	11095
1401	25968	11076
1402	25985	11057
1403	26001	11037
1404	26017	11018
1405	26034	10999
1406	26052	10980
1407	26069	10961
1408	26086	10941
1409	26103	10922
1410	26120	10903
1411	26137	10884
1412	26156	10866
1413	26173	10847
1414	26190	10827
1415	26206	10808
1416	26222	10788
1417	26239	10769
1418	26257	10750
1419	26274	10731
1420	26292	10713
1421	26309	10694
1422	26326	10674
1423	26344	10656
1424	26361	10636
1425	26378	10617
1426	26397	10599
1427	26415	10580
1428	26432	10561
1429	26450	10543
1430	26473	10526
1431	26492	10508
1432	26510	10489
1433	26529	10471
1434	26547	10452
1435	26564	10433
1436	26582	10414
1437	26599	10395
1438	26616	10376
1439	26635	10358
1440	26651	10338
1441	26668	10319
1442	26686	10301
1443	26702	10281
1444	26721	10263
1445	26738	10244
1446	26755	10225
1447	26772	10205
1448	26789	10186
1449	26805	10167
1450	26822	10148
1451	26840	10129
1452	26857	10110
1453	26873	10091
